,Unnamed: 0,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_ICI,STATE_FULL,PARTY_FULL,CAND_FIRST,CAND_LAST,SEARCH_QUERY,SEARCH_QUERY_W_STATE,SEARCH_URLS
5500,5500,P00008896,"ARCELAY, SONIACARMEN",President,Challenger,,No Party Affiliation,Soniacarmen,Arcelay,Soniacarmen_Arcelay,Soniacarmen_Arcelay_(),https://ballotpedia.org/Soniacarmen_Arcelay
5501,5501,P00008904,"MALLORY, SHERRY T MS",President,Challenger,,Democratic Party,Sherry,Mallory,Sherry_Mallory,Sherry_Mallory_(),https://ballotpedia.org/Sherry_Mallory
5502,5502,P00008912,"SMITH SR, RAEFORD GAMELLE",President,Challenger,,Independent,Raeford,Smith sr,Raeford_Smith sr,Raeford_Smith sr_(),https://ballotpedia.org/Raeford_Smith sr
5503,5503,P00008946,"POWERS, CHRISTIN NOEL MS.",President,Challenger,,Democratic Party,Christin,Powers,Christin_Powers,Christin_Powers_(),https://ballotpedia.org/Christin_Powers
5504,5504,P00008995,"STEFANSSON, STEFAN KARL",President,Challenger,,Democratic Party,Stefan,Stefansson,Stefan_Stefansson,Stefan_Stefansson_(),https://ballotpedia.org/Stefan_Stefansson
5505,5505,P00009019,"MARZOCK, BRET MR.",President,Challenger,,Independent,Bret,Marzock,Bret_Marzock,Bret_Marzock_(),https://ballotpedia.org/Bret_Marzock
5506,5506,P00009084,"STRIED, CHRISTOPHER",President,Challenger,,Independent,Christopher,Stried,Christopher_Stried,Christopher_Stried_(),https://ballotpedia.org/Christopher_Stried
5507,5507,P00009092,"CASTRO, JULIÁN",President,Challenger,,Democratic Party,Julián,Castro,Julián_Castro,Julián_Castro_(),https://ballotpedia.org/Julián_Castro
5508,5508,P00009126,"GROSS, KENNETH BRUCE VAN DR.",President,Challenger,,Unaffiliated,Kenneth,Gross,Kenneth_Gross,Kenneth_Gross_(),https://ballotpedia.org/Kenneth_Gross
5509,5509,P00009134,"BEEBE, JORRAN LEE",President,Challenger,,Democratic Party,Jorran,Beebe,Jorran_Beebe,Jorran_Beebe_(),https://ballotpedia.org/Jorran_Beebe
5510,5510,P00009142,"CLEVELAND, TAYLOR",President,Challenger,,Independent American Party,Taylor,Cleveland,Taylor_Cleveland,Taylor_Cleveland_(),https://ballotpedia.org/Taylor_Cleveland
5511,5511,P00009167,"BRAINARD, CHRISTOPHER",President,Challenger,,Republican Party,Christopher,Brainard,Christopher_Brainard,Christopher_Brainard_(),https://ballotpedia.org/Christopher_Brainard
5512,5512,P00009183,"GABBARD, TULSI",President,Challenger,,Democratic Party,Tulsi,Gabbard,Tulsi_Gabbard,Tulsi_Gabbard_(),https://ballotpedia.org/Tulsi_Gabbard
5513,5513,P00009209,"SHACKETT, THOMAS JON",President,Challenger,,Unaffiliated,Thomas,Shackett,Thomas_Shackett,Thomas_Shackett_(),https://ballotpedia.org/Thomas_Shackett
5514,5514,P00009217,"ACKER, BRANDON W",President,Challenger,,Democratic Party,Brandon,Acker,Brandon_Acker,Brandon_Acker_(),https://ballotpedia.org/Brandon_Acker
5515,5515,P00009225,"SENEY, RAYMOND J",President,Challenger,,Democratic Party,Raymond,Seney,Raymond_Seney,Raymond_Seney_(),https://ballotpedia.org/Raymond_Seney
5516,5516,P00009241,"KNEIP, KODY ALLEN",President,Challenger,,Republican Party,Kody,Kneip,Kody_Kneip,Kody_Kneip_(),https://ballotpedia.org/Kody_Kneip
5517,5517,P00009274,"BERGFIELD, CRYSTAL",President,Challenger,,Independent,Crystal,Bergfield,Crystal_Bergfield,Crystal_Bergfield_(),https://ballotpedia.org/Crystal_Bergfield
5518,5518,P00009290,"GILLIBRAND, KIRSTEN",President,Challenger,,Democratic Party,Kirsten,Gillibrand,Kirsten_Gillibrand,Kirsten_Gillibrand_(),https://ballotpedia.org/Kirsten_Gillibrand
5519,5519,P00009308,"MOLDAFSKY, ROBERT ION",President,,,Democratic Party,Robert,Moldafsky,Robert_Moldafsky,Robert_Moldafsky_(),https://ballotpedia.org/Robert_Moldafsky
5520,5520,P00009373,"KINCADE, ROSE",President,Challenger,,Other,Rose,Kincade,Rose_Kincade,Rose_Kincade_(),https://ballotpedia.org/Rose_Kincade
5521,5521,P00009381,"EDWARDS., JASENL LEMAR EXECUTOR.",President,Challenger,,Unknown,Jasenl,Edwards.,Jasenl_Edwards.,Jasenl_Edwards._(),https://ballotpedia.org/Jasenl_Edwards.
